created_at,author_id,geo,text
2022-06-04 00:26:51+00:00,1349149096909668363,,"Today, we secured another 33 million bottles of safe infant formula from Nestlé.
 
That means over 127 million bottles of safe infant formula are heading to U.S. shelves as soon as possible."
2022-06-03 20:49:08+00:00,1349149096909668363,,"This National Immigrant Heritage Month, we honor our immigrants and recommit to remaining a country worthy of their dreams and aspirations. Each generation of immigrants has made our nation stronger and reaffirmed that diversity is — and always has been — our greatest strength."
2022-06-03 20:00:00+00:00,1349149096909668363,,"I’ve laid out what I would do on gun violence. The question now is: What will Congress do?

The fact that the majority of Senate Republicans don’t want any of these proposals even to be debated or come up for a vote is unconscionable.

We can’t fail the American people again."
2022-06-03 18:45:01+00:00,1349149096909668363,,"We should repeal the liability shield that often protects gun manufacturers from being sued for the death and destruction caused by their weapons.

They’re the only industry in the country that has this kind of immunity.

It’s outrageous. It must end."
2022-06-03 18:20:00+00:00,1349149096909668363,,"I am doing everything I can on my own to help working families during this stretch of higher prices — and I will continue to do that.
 
But Congress needs to act as well. We can do so much more if we come together to lower costs for American families."
2022-06-03 17:50:00+00:00,1349149096909668363,,"In May, the economy added another 390,000 jobs. Bringing the total since I took office to 8.7 million new jobs.
 
An all-time record."
2022-06-03 14:47:19+00:00,1349149096909668363,,Tune in as I deliver remarks on the May jobs report. https://t.co/qsLaSrImEY
2022-06-03 00:05:00+00:00,1349149096909668363,,"My fellow Americans — enough.

It’s time for each of us to do our part. It’s time to act.

For the children we have lost, for the children we can save, for the nation we love — let us hear the call and cry, let us meet this moment, let us finally do something."
2022-06-02 23:49:33+00:00,1349149096909668363,,"Over the last two decades, more school-age children have died from guns than on-duty police officers and active duty military combined.

Think about that.

For God’s sake how much more carnage are we willing to accept?"
2022-06-02 23:42:18+00:00,1349149096909668363,,"We should reinstate the ban on assault weapons and high-capacity magazines that we passed in 1994.

In the ten years it was law, mass shootings went down.

After Republicans let the law expire in 2004 — and those weapons were allowed to be sold again — mass shootings tripled."
2022-06-02 23:39:11+00:00,1349149096909668363,,"We need to:

Ban assault weapons — and if we can’t, then we should raise the age to purchase them from 18 to 21.

Ban high-capacity magazines.

Strengthen background checks.

Enact safe storage laws and red flag laws.

Repeal gun manufacturers’ immunity from liability."
