created_at,text
2022-07-13 04:05:40+00:00,"    But, thats not the developmental age that the people you support want to preserve Abortion for. The official position of the national Democrat Party is that Abortion should be legal up to the moment of birth. Wanna see a picture of that?"
2022-07-12 21:15:41+00:00,"Yes, . These dastardly facilities fooling mothers into not killing their babies? Rendering them aid? They simply *MUST* be stopped. Can't be having abortion clinics outnumbered by people who ***checks notes*** only care about ""forced birth"" and nothing else.

U rite, EW. "
2022-07-12 18:43:04+00:00,"  1. Your country has compelled speech laws.
2. Abortion is not health care or a human right."
2022-07-12 17:09:29+00:00," Who cares?

Why was she pregnant in the first place?

Fake or not; abortion shouldn't be that issue"
2022-07-12 03:22:04+00:00,"The takeaway isn't how the story would have affected one's stances RE: abortion had it been true. Pretty sure those battle lines were drawn long ago. But if this was a hoax, that shit was crazy coordinated. And QUICKLY, too  Immediately after the Roe overturn. THAT'S the story."
2022-07-12 03:12:25+00:00,"Never affected my stance RE: abortion (my caveats are longstanding in that debate), but that was a full-court press by the media if this shit ends up being a hoax. Wild stuff. "
2022-07-12 01:36:20+00:00,"

State abortion bans passed in the wake of the Supreme Courts decision to overturn Roe v."
2022-07-12 00:25:36+00:00,"I think abortion is suicide! For both yourself but your ancestors as well.  This is because in physics emergent theory says all time effects all time all of the time. 

"
2022-07-11 23:31:16+00:00,"ORoutke is answering questions from Yang and the audience about what Texans are struggling with under Abbotts administration, such as abortion and voting rights."
2022-07-11 23:10:30+00:00,"  I've seen a great many arguments the Left has brought to the table since Roe was overturned and, I've got news for you, you guys are going to end up getting abortion banned nationwide."
2022-07-11 18:12:07+00:00,  Yes.  we all have said that but abortion and border issues are what keeps him in favor with the TX MAGA folks. They still consider him too liberal.
2022-07-11 17:41:58+00:00," If you truly believed abortion to be health care, you would make a case with your legislators."
2022-07-11 13:40:58+00:00,"Remember when the right to privacy was an American thing? Good times. 

NPR: Google's data trove can be used to prosecute abortion seekers.


via "
2022-07-11 12:57:20+00:00," Refashion the abortion argument to focus on individual liberty.  SCOTUS decision expanded power of Govt (state and Fed) to restrict individual liberties, which threatens everybody. Incl. my body my choice vacs and mask resisters. Not just special treatment for women."
2022-07-11 11:54:03+00:00,You people have lost it. 
2022-07-11 06:06:46+00:00,He believes that calling abortion murder dilutes the humanity of women in virtue of a religious belief. If only jurists in are country believed in that. 
2022-07-11 00:07:38+00:00,"Please read John Turturro's beautifully written and heartbreaking personal account of his family's generational trauma and its source. I have been thinking about Rosa and Katherine and her siblings and their children all day. I grieve for Rosa, too.

"
2022-07-10 20:22:05+00:00, Im glad she hasnt killed it w abortion
2022-07-10 19:50:17+00:00, This is the abortion sickness I speak about . This young woman knows nothing. She is the poster child of abortions.
2022-07-10 16:19:12+00:00," 98% don't support abortion and abortion isn't a right; it's a privilege.

My comment "
2022-07-10 00:49:12+00:00,"   Thats true insofar as it goes, the Right to Privacy is where the SCOTUS in 73 put Roe - and thats wrong and its why Roe has always been bad Law. If you really want to enshrine Abortion, you should call it a Property Right -"
2022-07-09 23:44:11+00:00,"Take note of TONE of AUTHORITY in this obscene letter. Abortion Is just the beginning. If Greg Abbott, Dan Patrick and Ken Paxton are re-elected in November  mark my words they will come after IT ALL. Abortion is just the Save the Date notice to all Texans. 
VOTE THEM OUT! "
2022-07-09 18:21:02+00:00,"

The retired officer, Gary Volesky, responded to a tweet Jill Biden sent about abortion. ""Glad to see you finally know what a woman is,"" he wrote."
2022-07-09 16:36:12+00:00,  One thing that the pro abortion and mr biden miss is that most of the anti-abortion people are women! The fake news media will only record men at  pro-life protest but if you survey the crowd youll see mostly women. someone can point that out to bidens abortion proud buddies.
2022-07-08 20:05:17+00:00,"

Vowing to continue the fight against last months Supreme Court overruling of the 1973 decision in Roe v. Wade that made abortion legal nationwide, President B..."
2022-07-08 12:35:21+00:00," No, those are state laws. Just like abortion laws"
2022-07-08 03:50:06+00:00,"

Sen. Dianne Feinstein (D-Calif.) on Thursday said she supports the Senate removing the procedural filibuster rule in order to codify abortion rights into law. ..."
2022-07-08 03:49:23+00:00,"

Democrats say Biden cut a deal with Mitch McConnell to pick an anti-abortion GOP federal judge but McConnell's camp called that ""false information."""
2022-07-08 00:51:37+00:00,"Many states have no exceptions, including life of the mother - thats the problem when they ram through legislation without thinking it through. In Texas, the Governor wants to jail anyone who travel elsewhere for an abortion - regardless of reason. "
2022-07-07 21:01:33+00:00,"""Diversity is our strength.""*

*except for abortion. We like exclusively geriatric white males in that instance. "
2022-07-07 20:27:51+00:00," is fucking brilliant (and has been for a solid minute). If you can riff on abortion (post Roe overturn) and have the ENTIRE crowd genuinely laughing? That's elite shit right there! 
"
2022-07-07 12:28:26+00:00,"Horrific scenarios are already playing out in TX. Banning abortion is an attack on women, plain and simple. "
2022-07-06 21:22:41+00:00,"  Still had to import right to self defense into 2A. Words arent there, just well regulated militia.

Then again, privacy not there to give abortion choice to the women"
2022-07-06 20:43:04+00:00," Mass shootings 
Anti abortion 
White supremacist 
Racists."
2022-07-06 19:08:12+00:00,RSVP for ACLU People Powers Abortion Activist Series to learn how you can defend abortion access this summer and beyond! 
2022-07-06 18:24:25+00:00,"Roe v. Wade was a legal shitshow (big reason it was never codified). Racism has LONG been the sturdiest underpinning of abortion advocacy. From Sanger to Roe to now, as many ""BLM"" folks are the first to support this macabre practice that decimates the black population. "
2022-07-06 17:15:51+00:00,"

With the Supreme Court decision to overturn Roe v. Wade, some are turning to pro-abortion tattoos to vent their feelings and support the cause."
2022-07-06 16:19:32+00:00,That's not even an abortion  
2022-07-06 16:17:20+00:00, This is all part of the Republican plan to kill public schooling. Thats been their plan for a long time its just like what they did with abortion. Its a slow roll until it actually happens and that you cant believe it has happened.
2022-07-06 16:05:49+00:00,"Texans shouldnt have to travel for safe abortion care. This awful reality hurts all of us.

Pitch in:  "
2022-07-05 21:25:37+00:00,Just get pregnant by the supreme court justices husbands and then see how they feel about abortion:)
2022-07-05 19:51:13+00:00,"Done entertaining red herring arguments RE:abortion. Making caveats for such instances (as I do) changes the abortionist's stance not one iota--the entire exercise is superfluous poppycock. Instead, let's get a read on abortion rates after positive fetal tests for Down's Syndrome"
2022-07-05 16:58:57+00:00,"This mans CALLOUS INDIFFERENCE to the contd deepening suffering by so many Texans IS LAID BARE  what about grant programs for: Massacred Child Recovery or Living With My Kids Out Of My Car For Housing or a No Abortion For Poor Women?? 
***But its all about TOURISM! "
2022-07-04 21:33:13+00:00,      I bet you believe the death penalty is justifiable while calling abortion murder.
2022-07-04 19:06:17+00:00,"  Its a fundamental right under the US Constitution. Abortion is not.

Roe v Wade was a horrible decision. 

Your tyrannical wrecking ball of governance is coming to an end soon. People are waking up Karen."
2022-07-04 18:04:49+00:00,You must be out of your cottonpicking english mind if you think I'm gonna play bad faith abortion hypotheticals with your goofy ass ON AMERICAN INDEPENDENCE DAY   
2022-07-04 15:38:21+00:00," To be truly galvanizing the threat of the abortion ruling should be framed as a threat to everyones individual liberty interests, not just limiting the special treatment of women. My body my choice is everyones right. SCOTUS  is lost in a 60s womens lib time warp."
2022-07-04 13:48:32+00:00," The broader liberty message is the key to greater public awareness of the true implication of the Roe abortion decision. Individual liberty choice is threatened, not just some special treatment being given to women."
2022-07-04 00:16:28+00:00,"My boss would not allow me to write this headline, given the information stated deep in the article. However, they wouldn't have to stop me. It wouldn't cross my mind to write such a headline. You can write about anti-abortion GenZers without misleading. "
2022-07-03 22:57:07+00:00,"   Killing a child that's risking the life of the mother is incredibly rare and, still legal in all 50 states. It's also not coded as abortion so, it kind of throws the whole ""abortion is health care"" narrative out the window."
2022-07-03 22:23:20+00:00,  meanwhile we're banning abortion and making sure people can pray at school. 
2022-07-03 21:16:06+00:00,"Tracking &amp; Prosecuting women for seeking out abortion after rape or incest will accomplish 2 harrowing things:
- ensure less women come forward who suffer rape/incest = rapists get away with crime; and 
- increase number of women with felony convictions who cannot vote. "
2022-07-03 19:40:51+00:00, Thought you knew that abortion is a life-ending procedure  shhhhhhh
2022-07-03 19:03:06+00:00," It's alive the whole time lol the whole point of abortion is to make it NOT alive (commonly referred to as ""dead""). Sure, make caveats for rape/incest/mother's health. All good. Not why most abortions happen."
2022-07-03 18:30:00+00:00,"    Nah pretty norm for those of us against abortion to be all-in on adoption. Not that that makes a difference one way or another RE: advocating AGAINST just killing kids en utero, but I digress."
2022-07-03 18:28:22+00:00,"I'm not pro-life. I simply opposite on-demand abortion for any reason at any time during pregnancy save for the most extenuating/existential circumstances. Am willing to discuss lines if demarcation regarding policy EN UTERO, but I'm not gonna cop to the wanton dehumanization..."
2022-07-03 18:28:21+00:00,"The abortionist below is upset at being labeled by that which he clearly supports. It's not an insult if it's true, bruv. You support abortion. You're an abortionist. If that's also an insult, then that's a YOU problem  "
2022-07-03 18:09:06+00:00,"Answer: I've *always* ceded rape/incest grounds as discretionary RE: the abortion debate. Such tragic circumstances are statistical outliers for abortion reasons.

Your turn: so, making that caveat, surely you support banning the macabre practice in other instances, no?  "
2022-07-03 17:37:35+00:00,"Have you ever tried to adopt, Patti? It ain't like a Target run. Also anti-abortion ppl already lead the adoption charge. How about we exhort our ""life/liberty/pursuit of happiness"" gubmint to facilitate more of the same? Rather than erring on the side of killing babies en utero? "
2022-07-03 17:27:51+00:00,"POP QUIZ: please point to where I mentioned religion to oppose abortion. Either in my initial tweet to which you responded, or in any of my arguments...ever. Feel free to trawl my entire TL. Then report your ignorant ass back to me, abortionist.   "
2022-07-03 17:22:37+00:00,        Run the numbers for abortion reasons. Then report back to me.
2022-07-03 16:20:00+00:00,  Huh? I dont remember saying anything about abortion. Typical Republican changing the subject when called out on their idiocy.
2022-07-03 15:32:45+00:00,"     Abortion is not health care. Before you even mention miscarriages and ectopic pregnancies, hospitals don't even code them as abortion."
2022-07-03 07:32:02+00:00,"Abortion ""abolitionists"" isn't the outer edge, it's ""mainstream"" for the anti-Choice. They just been hiding it from the majority of American. "
2022-07-03 04:06:30+00:00,"

Nonprofits such as Blue Haven aim to reduce abortions by offering services for those in need, but the owner says they're unprepared for the influx of patients."
2022-07-02 23:56:06+00:00," Yes, you won 1 for some people. Saving them from abortion, but letting them become bullseye target for the NRA before the age of 10!
  Good shooten 
"
2022-07-02 21:07:42+00:00,"    I think that's the only *state* in your country that has zero term limit abortion, the rest are 16-24 weeks. I can't believe your abortions are partially tax payer funded too and, zero questions asked for minors, while not notifying parents."
2022-07-02 20:57:15+00:00," That's probably where generalities come into play, though, right? Liberals will refer to the whole of bodily autonomy as abortion, whereas conservatives tend to imagine elective, personal preference abortions."
2022-07-02 20:52:21+00:00," Another was about that the average evangelical has probably had an abortion, and they made the point that it's simply likely untrue. We can think of myriad exceptions, but as a rule, liberals must contend that their opposition may generally hold to their ideals on this issue."
2022-07-02 17:29:50+00:00,"YES- a redneck Tx Leg introduced a bill punishing Tx women with death penalty for abortion. 
It is not yet"" law"".
Will be introduced again next leg session in 2023.
So
FREAKING VOTE  &amp; his  OUT in NOVEMBER"
2022-07-02 17:25:34+00:00,"An Austin doctor answers questions about the options, various scenarios after Roe v. Wade was struck down. "
2022-07-02 16:40:59+00:00,NY Mag has put out an abortion issue of magazine that is a saver for navigation in post SCOTUS world. A true saver for reference no matter where u live. I have it so if ANYONE needs immediate help feel free to DM me
2022-07-02 16:16:47+00:00, Or GET A JOB and safe up enough to get an abortion in CA.
2022-07-02 14:05:13+00:00,"$CGC Constellation Brands . Branding for Mexicans favorite whore houses. Clinics will sell more Xanax, Valium and soon cannabis from $cgc &amp; $ACB.  Abortion &amp; Marijuana tourism in  Tijuana &amp; Nuevo Larado ..... "
2022-07-02 13:25:44+00:00,"  PP was started by a racist eugenics advocate (Sanger) that led to the most liberal abortion policies in the world. This has never been about reproductive rights you sheep, its all about the political motive of pushing the abortion industry for $ and the Dems."
2022-07-02 12:55:04+00:00, Republicans know their culture war political agenda is highly unpopular  their plan was always to shove this shit down our throats by JUDICIAL FIAT. Guarantee you they left abortion long ago &amp; already have their plan to STRIP MORE PRIVACY AWAY FROM AMERICANS. We better wake up!
2022-07-02 04:51:01+00:00, will automatically delete records of  clinic visits 
2022-07-02 03:40:17+00:00," How do brand new voters aged 18-23 factor in to this? Wont the majority of first-time voters break D  arent they expected to turn out heavily bc of chaos of social issues like abortion, guns, environment, etc.? Interested to know your thoughts  Thanx!"
2022-07-02 02:12:21+00:00,"So now that abortion is fully banned in Texas, do you think those ugly bitch ass protesters in front of Planned Parenthood will now actually go out and do something pro life or will they find something else to yell pointlessly about"
2022-07-02 02:08:55+00:00, Well never forget watching you filibuster abortion rights for Texas. Thank you for standing up for us!
2022-07-01 23:20:24+00:00, Vote Democrat  this midterm.
