created_at,text
2022-07-14 15:38:13+00:00,Quick question when a 55yo woman from out of town was raped in the Macys bathroom that terrible Sunday morning- wasnt her rapist out on bail via . fumble? So . do you only care about rape when it leads to an abortion or do we care about STOPPING RAPE altogether 
2022-07-14 01:21:03+00:00,I just wrote to  urging him to make clear his specific plans to ensure that people can get abortion care. Join me in the fight for  and let him know what we want to see! 
2022-07-14 00:48:03+00:00,Abortion is healthcare. Healthcare is a human right.
2022-07-13 23:09:16+00:00,"  And now, a more thorough explainer of the trappings of one source because of the nature of reporting on  and  in general. Again, women need to be believed. "
2022-07-13 20:43:39+00:00,"A 10 year old girl was raped at least TWICE in Ohio

So what did Republicans do?

Deny her an abortion, erase her identity and then call her a liar

Shaming rape victims and smearing their doctors is the GOP way

Blaming women and girls for getting raped is the ChristoFascist way"
2022-07-13 20:09:53+00:00,"A tad delayed, but heres my photo essay portraying thousands of Philadelphians protesting the Supreme Courts decision to overturn Roe v. Wade "
2022-07-13 17:01:31+00:00,"damn, think Fox 'News' will bring this up on all their shows that they spent hours bashing Biden for making up a story in order to redact and confirm that this was in fact a true story? 

Nah, that's not how propaganda networks work. 

"
2022-07-13 15:12:37+00:00,"Rep. Wendi Thomas, Rep. Craig Staats, Rep. Todd Polinchock, Rep. Meghan Schroeder, Rep. Frank Farry, Senator Bob Mensch, and Senator Robert Tomlinson. "
2022-07-13 14:17:52+00:00,"Good to see Governor Wolf ensure Pennsylvania will remain a refuge for women who seek abortion access here. 

Abortion remains safe and legal in Pennsylavania. We need the help of Pennsylvanians tomake sure it remains legal.  "
2022-07-13 10:00:39+00:00, Requires a more rigorous definition of abortion rights. I support carte blanche abortion access during the 1st trimester. I totally oppose abortion during the 3rd &amp; generally during the 2nd. This is the law in many Euro countries. Should I &amp; most Euros be forced to adopt?
2022-07-12 23:17:16+00:00,"What kind of President will stand in front of the whole Nation and lied about abortion. That President is Joe Biden, this man is a disgrace. Where are all those people who told us how bad Trump was?"
2022-07-12 20:58:22+00:00,hey I know that go vote! is meme-ified and a total punchline now but this is just a super friendly reminder that PA is up for a new governor this election and if a republican takes office abortion will become illegal in the state
2022-07-12 20:17:15+00:00, good evening President Bill from Philadelphia you're trying to make abortion legal I abortion is illegal in a few States in that state where abortion is illegal you cannot cross state lines to kill your child
2022-07-12 18:15:42+00:00,"The timing of HRA Pharmas F.D.A. application, just weeks after the Supreme Court decision, is a really sad coincidence, said the companys chief strategic and innovations officer. Birth control is not a solution for abortion access""
"
2022-07-12 17:14:43+00:00, I would love to do them both and donate extra to abortion funds if youre down!
2022-07-12 14:02:06+00:00,There are still brainwashed morons in the latino/Hispanic community who will vote for the democrats and use white hatred or abortion ad the reason 
2022-07-12 03:20:54+00:00,"PSA: Doug Mastriano, a Jan. 6 insurrectionist who doesnt believe same-sex couples should have the right to marry, opposes abortion even in cases of rape or incest, and thinks climate change is fake, is the Republican candidate for Pennsylvania governor. Jfc vote for Shapiro."
2022-07-12 03:18:35+00:00," would love to know your stance on abortion, hypocrite."
2022-07-12 02:22:39+00:00,"Now, let's get congress to take some action to codify access to abortion on the federal level. 

  "
2022-07-11 19:45:15+00:00,"  What rights have been taking away from women, you child. I'm a Philly girl so tell me Whitey of the whites suburbia girl what righs are you talking about, having federal government fund you and abortion clinics?  .lol.. ass"
2022-07-10 21:34:14+00:00," Such absolutism may be enabling antiabortionists. Much of the public may support abortion on demand during the 1st trimester, but balk at it later. This is the uncontroversial policy of many liberal Euro nations. Pro-Choice forces should consider such moderation for the US."
2022-07-10 13:41:06+00:00,"  Little demons killing an elderly frail man, 500+ murders and these clowns want to try  distract us with the abortion bullshit. Let's turn a blind eye to how the city went down hill fast in 7 years of Kenney! Will be worse under Helen Gym!!!"
2022-07-10 12:23:29+00:00, Youll get chills tears anger and frustration listening and watching our leader. Its disgraceful and disappointing to hear debate of Abortion bills. GOP has amnesia that a woman gave birth to them!!!   
2022-07-10 04:40:55+00:00, .Abortion Is Murder
2022-07-09 19:57:02+00:00," Yeah, there were the radical left wing religious types in the 60s and 70s who opposed abortion (my grandmother was one of them)"
2022-07-09 17:46:14+00:00,"  Abortion wasn't constitutionally protected. Access rested on Roe vs Wade, making it vulnerable to revocation at SCOTUS fiat. The ruling should have been superceded by constitutional amendment. Activist demand for abortion at whim during the entire 9 months may have impeded this."
2022-07-09 12:47:59+00:00,"  Much of the public may not support abortion American-style, i.e. on demand the full 9 months. The Euros Pro-Choicers tout typically limit carte blanche abortion to the 1st trimester, which seems sensible vis-a-vis fetal dev. Replace radfem with reason."
2022-07-09 06:06:48+00:00,"Makes me want to vomit

The religious right recruited wealthy individuals who would wine, dine &amp; entertain the 6 ChristoFascist Supreme Court Justices in a bid to push them right on abortion and guns 

This Court is illegitimate

All its decisions drip with the blood of Americans"
2022-07-09 04:02:45+00:00," I support abortion rights &amp; like to believe most people do. But facts contradict my beliefs. If 'the vast majority' did, they wouldn't be imperiled."
2022-07-09 01:41:44+00:00,   There is none because its a sick made up fantasy. They have publicly said many time that pro-choice people literally want to give people the option of abortion after the baby is born.  Or as its called murder and people actually believe it.
