created_at,text
2022-05-28 01:49:52+00:00,"  The first set to gun control is education. Here is a detailed description about legal and illegal rifles explained by law enforcement. Banning the AR-15 is like banning the color red on a vehicle. It will do nothing. 

"
2022-05-28 01:49:36+00:00,"The first set to gun control is education. Here is a detailed description about legal and illegal rifles explained by law enforcement. Banning the AR-15 is like banning the color red on a vehicle. It will do nothing. 

"
2022-05-27 22:00:41+00:00,It is true that the country is divided..but not 50/50. There are by far more people who understand  that some Gun control is needed.  The NRA is alone in this.
2022-05-27 22:00:26+00:00,"Just saw Greg Abbott speaking at his press conference that was his reason for ditching NRA. He promised change and passing laws, but not gun control laws. Oh hell no. Background checks or red flag laws arent 100% effective, so, umm "
2022-05-27 20:00:47+00:00,"Not going to allow you to change the narrative.
         Gun Control Now "
2022-05-27 19:59:24+00:00,"Nope right now the country is laser focused on gun control. 

Have you forgotten? 
Children were slaughtered thoughts &amp; prayers did nothing. "
2022-05-27 19:43:22+00:00,  So now where we at? Defunding the police again or gun control? 
2022-05-27 18:26:36+00:00,"My Congressman from Southwest Houston promised if he passed from Covid, that he would haunt the US Congress until they pass gun control laws"
2022-05-27 17:22:19+00:00,"  Democrats dont rule. This is not Russia or Hungary, yet. Unless they hone in on abortion rights and gun control they will not have control of congress. Moreover senate requires at least 52 democrats to offset manchin and sinema."
2022-05-27 15:20:34+00:00,"Outside the  convention, protesters have been gathered calling for gun control and holding signs with the faces of children killed in Uvalde. 

 is scheduled to speak here later today alongside currently elected officials.   "
2022-05-27 14:31:53+00:00,"Nope the narrative through out the nation is gun control.
School kids are not being murdered due to the cost of gas.

       Gun Control Now! "
2022-05-27 10:54:40+00:00,"    It IS the NRA's fault, and the fault of EVERY SINGLE PERSON/ORGANIZATION/POLITICIAN that REFUSES to work on ANY kind of gun control."
2022-05-27 07:32:04+00:00,GOP opponents of gun control like Ted Cruz should be compelled to view the photographs of the mutilated bodies of the children killed with the AR-15. They were so mutilated that they could only be identified by DNA. 
2022-05-26 22:13:24+00:00,Nope you are not switching the narrative we want gun control and we want it fucking now 
2022-05-26 21:31:38+00:00,Elon Musk was never conservative. A problem with the right is that we are so quick to bandwagon someone when they support something as simple as free speech. Next thing you know everyones telling him to run for president then he comes out in favor of gun control.
2022-05-26 19:47:30+00:00, Here we fighting among ourselves for gun control. Our government proves money matters and lives dont.
2022-05-26 18:15:22+00:00,"  She almost got it right then she said we need god, your god isnt the one thats gonna help with gun control or mental health."
2022-05-26 15:47:29+00:00,Democrats are pushing gun control  and even some Republicans but  Republicans sadly  and  behind the snickering democrats are responsible too 
2022-05-26 15:03:48+00:00,"From the horse's mouth...  

Where Senate Republicans Stand on Gun Legislation "
2022-05-26 12:59:01+00:00,"Fuck this thoughts and prayers bullshit. We need gun control and better, safer gun laws now!!!!      "
